Latitude,Longitude,Comentários
-23.4565643,-45.06000030000001,10/01/2016 a noite
-23.4244616,-45.0753314,11/01/2016 a tarde
-23.2291661,-45.8810463,11/01/2016 pela manhã
-23.003346,-45.5755431,12/01/2016 a noite
-23.203133,-45.883638,13/01/2016 a noite
-23.2268353,-45.8860991,14/01/2016 pela manhã
-23.3002551,-45.9641934,15/01/2016 a noite
-23.2952832,-45.9608528,16/01/2016 a noite
-23.0494728,-45.5544883,16/01/2016 a noite
-23.2218634,-45.9065898,17/01/2016 a noite
-23.2526175,-45.9036367,18/01/2016 a noite
-23.2307846,-45.8825017,19/01/2016 pela manhã
-23.067291,-45.7135359,19/01/2016 a noite
-23.2140566,-45.886993,20/01/2016 a noite
-23.1875243,-45.8832135,20/01/2016 pela manhã
-23.2044535,-45.9009128,21/01/2016 pela manhã
-23.0991716,-45.7018008,22/01/2016 pela manhã
-23.1832229,-45.8569813,22/01/2016 a noite
-23.2104894,-45.8514207,23/01/2016 a noite
-23.2306755,-45.9214822,23/01/2016 pela manhã
-23.2631764,-45.8848495,24/01/2016 a noite
-23.203877,-45.8955892,24/01/2016 a noite
-23.1987846,-45.8931711,24/01/2016 a tarde
-23.2451436,-45.9001777,25/01/2016 pela manhã
-23.0993086,-45.7058125,25/01/2016 a tarde
-23.2279026,-45.8899006,26/01/2016 pela manhã
-23.1791838,-45.8546592,26/01/2016 pela manhã
-23.1047309,-45.696833,26/01/2016 a noite
-23.2036865,-45.8929394,27/01/2016 pela manhã
-23.2454937,-45.88496629999999,28/01/2016 pela manhã
-23.2534014,-45.8342231,29/01/2016 de madrugada
-23.6944282,-45.4433272,31/01/2016 de madrugada
-23.2731109,-45.8998055,31/12/2015 a noite
-23.2932527,-45.9472466,04/01/2016 de madrugada
-23.2168912,-45.7866472,05/01/2016 pela manhã
-23.205199,-46.1562433,04/01/2016 a noite
-23.0410246,-45.1507541,04/01/2016 a noite
-19.1408746,-45.438538,05/01/2016 a tarde
-22.8476853,-45.2405069,02/01/2016 pela manhã
-23.0137518,-45.5655621,05/01/2016 a noite
-23.2727163,-45.9038635,21/01/2016 a tarde
-23.2727163,-45.9038635,21/01/2016 a tarde
-22.9904448,-45.5362091,04/01/2016 de madrugada
-22.6757147,-45.0000088,08/01/2016 de madrugada
-23.0135433,-45.5904196,06/01/2016 de madrugada
-22.9468068,-45.5039314,02/01/2016 a noite
-23.2294847,-45.8179951,06/01/2016 pela manhã
-23.117095,-45.7156186,08/01/2016 a tarde
-23.3114215,-46.0033634,06/01/2016 a tarde
-23.0315722,-45.6190113,11/01/2016 de madrugada
-23.3113918,-46.0056768,07/01/2016 a noite
-23.3083692,-45.9696649,03/01/2016 de madrugada
-23.2521981,-45.91407220000001,26/01/2016 a tarde
-23.2159592,-45.8098976,08/01/2016 de madrugada
-23.2437567,-45.89893439999999,02/01/2016 a tarde
-23.0387115,-45.5551793,11/01/2016 pela manhã
-23.2521981,-45.91407220000001,27/01/2016 a tarde
-23.2793286,-45.942836,03/01/2016 a tarde
-23.237563,-45.9127258,02/01/2016 a noite
-23.1820817,-45.79515199999999,14/01/2016 a noite
-23.1820817,-45.79515199999999,14/01/2016 a noite
-23.3075207,-45.9806973,12/01/2016 pela manhã
-22.7294143,-45.10673999999999,08/01/2016 a noite
-23.2350561,-45.9033844,03/01/2016 pela manhã
-23.2302624,-45.9263152,28/01/2016 a noite
-23.228626,-45.8785401,11/01/2016 a tarde
-23.1977223,-45.9029444,06/01/2016 a noite
-22.9212448,-45.4708792,09/01/2016 a noite
-23.4086512,-45.88811889999999,14/01/2016 a tarde
-23.2546704,-45.8845677,12/01/2016 pela manhã
-23.4086512,-45.88811889999999,14/01/2016 a tarde
-23.4086512,-45.88811889999999,14/01/2016 a tarde
-23.2948574,-45.954528,07/01/2016 a noite
-23.2948574,-45.954528,07/01/2016 a noite
-23.0383505,-45.5856933,12/01/2016 em hora incerta
-23.1740555,-45.841398,22/01/2016 pela manhã
-23.1740555,-45.841398,22/01/2016 pela manhã
-22.8476853,-45.2405069,07/01/2016 pela manhã
-22.9994121,-45.4983818,14/01/2016 a tarde
-23.117095,-45.7156186,08/01/2016 de madrugada
-23.117095,-45.7156186,08/01/2016 de madrugada
-22.9675969,-45.5551374,15/01/2016 de madrugada
-22.8071309,-45.1885724,22/01/2016 a noite
-22.179425,-47.3855391,29/01/2016 a noite
-22.7936295,-45.1720061,29/01/2016 a noite
-23.1800201,-45.8516513,26/01/2016 pela manhã
-22.8090497,-45.1968274,22/01/2016 de madrugada
-22.5701197,-44.9598351,19/01/2016 de madrugada
-23.1734007,-45.8268497,13/01/2016 a tarde
-23.3086508,-46.005778,09/01/2016 a noite
-23.275249,-45.97436889999999,14/01/2016 a noite
-23.275249,-45.97436889999999,14/01/2016 a noite
-23.3075207,-45.9806973,09/01/2016 pela manhã
-23.1410761,-45.7767001,28/01/2016 a noite
-23.2740243,-45.8624299,14/01/2016 pela manhã
-23.2740243,-45.8624299,14/01/2016 pela manhã
-23.1410761,-45.7767001,28/01/2016 a noite
-22.8071309,-45.1885724,28/01/2016 a noite
-22.998778,-45.5108766,15/01/2016 a noite
-22.8035853,-45.1862067,22/01/2016 de madrugada
-22.7896129,-45.1590654,29/01/2016 a noite
-23.003191,-45.5265503,09/01/2016 a tarde
-23.4336578,-45.0838481,03/01/2016 de madrugada
-23.295692,-45.9274062,12/01/2016 a noite
-23.3092608,-45.9823366,28/01/2016 a noite
-22.9994121,-45.4983818,16/01/2016 de madrugada
-22.9454472,-45.5050505,16/01/2016 de madrugada
-23.2605763,-45.9342635,13/01/2016 a noite
-23.1803563,-45.86051579999999,10/01/2016 de madrugada
-23.3004539,-45.9292522,14/01/2016 a noite
-23.3021796,-45.930757,20/01/2016 de madrugada
-22.9517087,-45.4037288,17/01/2016 a noite
-23.2880535,-45.8898277,07/01/2016 de madrugada
-23.3059342,-45.9352118,20/01/2016 pela manhã
-23.2993702,-45.9279062,16/01/2016 a noite
-23.2212207,-45.8885794,07/01/2016 a noite
-23.3059955,-45.98320409999999,22/01/2016 de madrugada
-23.2244484,-45.8884902,08/01/2016 de madrugada
-22.9228664,-45.3936634,15/01/2016 a noite
-22.9228664,-45.3936634,15/01/2016 a noite
-23.2929792,-45.946773,16/01/2016 a noite
-22.9741154,-45.5497256,28/01/2016 de madrugada
-23.2735465,-45.93765519999999,17/01/2016 de madrugada
-23.3015274,-45.9320041,17/01/2016 de madrugada
-23.264116,-45.929432,21/01/2016 a noite
-23.2783121,-45.9009688,08/01/2016 a noite
-23.1731044,-45.8223825,09/01/2016 a noite
-23.1731044,-45.8223825,09/01/2016 a noite
-23.1122014,-45.7016234,18/01/2016 a noite
-23.1702425,-45.8034908,26/01/2016 a tarde
-23.2519306,-45.8318889,09/01/2016 a noite
-22.9675969,-45.5551374,13/01/2016 de madrugada
-23.1718945,-45.8227736,28/01/2016 a noite
-23.0275352,-45.567447,26/01/2016 a noite
-23.285718,-45.9627794,19/01/2016 a noite
-23.1705099,-45.8111526,19/01/2016 a tarde
-23.1705099,-45.8111526,19/01/2016 a tarde
-23.2956878,-45.9302716,19/01/2016 a noite
-23.0375829,-45.5790511,27/01/2016 pela manhã
-23.0135059,-45.5701979,14/01/2016 a noite
-23.262903,-45.883579,10/01/2016 de madrugada
-23.1493272,-45.90226209999999,12/01/2016 a noite
-23.0333014,-45.5574591,14/01/2016 a noite
-23.4336578,-45.0838481,06/01/2016 a noite
-22.8185016,-45.1825427,20/01/2016 a tarde
-22.8185016,-45.1825427,20/01/2016 a tarde
-23.2714193,-45.9038662,10/01/2016 de madrugada
-23.2714193,-45.9038662,10/01/2016 de madrugada
-23.3500734,-44.7578405,06/01/2016 a noite
-23.1731044,-45.8223825,10/01/2016 a noite
-23.1731044,-45.8223825,10/01/2016 a noite
-23.3099768,-45.8964338,21/01/2016 pela manhã
-23.2756162,-45.9470471,22/01/2016 a noite
-23.2320869,-45.8963096,11/01/2016 pela manhã
-23.1178234,-45.7166663,21/01/2016 pela manhã
-23.2945154,-45.9588273,28/01/2016 pela manhã
-22.9278324,-45.370375,30/01/2016 pela manhã
-23.3061699,-45.9831497,23/01/2016 a noite
-23.2496159,-45.9021451,12/01/2016 de madrugada
-23.2541608,-45.9312405,29/01/2016 pela manhã
-23.3055166,-45.96690350000001,24/01/2016 pela manhã
-23.2033874,-45.8945185,14/01/2016 a noite
-23.3299168,-45.8857955,24/01/2016 a tarde
-23.1864628,-45.8863871,15/01/2016 de madrugada
-23.2641594,-45.9252659,24/01/2016 a noite
-23.2749328,-45.8621218,25/01/2016 a noite
-23.0685004,-45.6385428,11/01/2016 a tarde
-23.1292538,-45.7182094,25/01/2016 a noite
-23.2912383,-45.9514211,25/01/2016 a noite
-23.197949,-45.87641139999999,15/01/2016 a tarde
-23.2559892,-45.9141394,13/01/2016 pela manhã
-23.2931872,-45.9271892,27/01/2016 de madrugada
-23.2084723,-45.8841116,13/01/2016 a noite
-23.2426792,-45.82255809999999,14/01/2016 a noite
-23.3068856,-45.9639809,29/01/2016 a noite
-23.1790386,-45.7846774,14/01/2016 a noite
-23.0200328,-45.5532252,18/01/2016 a noite
